,followers,genres,href,id,name,popularity,uri
9485,"{'href': None, 'total': 97265}","['acoustic pop', 'neo mellow']",https://api.spotify.com/v1/artists/5zeCSgiRyezbfLiGOpKAsR,5zeCSgiRyezbfLiGOpKAsR,Tyrone Wells,45,spotify:artist:5zeCSgiRyezbfLiGOpKAsR
9486,"{'href': None, 'total': 626}",[],https://api.spotify.com/v1/artists/17QrJsIIiAFuh1VuniANKz,17QrJsIIiAFuh1VuniANKz,Yo Preston,25,spotify:artist:17QrJsIIiAFuh1VuniANKz
9487,"{'href': None, 'total': 887791}","['contemporary country', 'country', 'country dawn', 'country road']",https://api.spotify.com/v1/artists/021hNAnkFIbyFyL97br6NB,021hNAnkFIbyFyL97br6NB,Kellie Pickler,40,spotify:artist:021hNAnkFIbyFyL97br6NB
9488,"{'href': None, 'total': 324368}","['contemporary country', 'country', 'country road']",https://api.spotify.com/v1/artists/0dlwjJe4kg9TgOMN184bJF,0dlwjJe4kg9TgOMN184bJF,Mark Wills,46,spotify:artist:0dlwjJe4kg9TgOMN184bJF
9489,"{'href': None, 'total': 15673}",['hollywood'],https://api.spotify.com/v1/artists/3j507n6aQUbtVxQv2Q6Usv,3j507n6aQUbtVxQv2Q6Usv,Joaquin Phoenix,37,spotify:artist:3j507n6aQUbtVxQv2Q6Usv
9490,"{'href': None, 'total': 369390}","['classic country pop', 'country', 'country rock']",https://api.spotify.com/v1/artists/5iB5AWIa7qreioi0AF3Bxa,5iB5AWIa7qreioi0AF3Bxa,The Bellamy Brothers,55,spotify:artist:5iB5AWIa7qreioi0AF3Bxa
9491,"{'href': None, 'total': 1669}",[],https://api.spotify.com/v1/artists/1yAehYAtmnLMWUMcFZpXLC,1yAehYAtmnLMWUMcFZpXLC,Freddy.b,24,spotify:artist:1yAehYAtmnLMWUMcFZpXLC
9492,"{'href': None, 'total': 1675}",[],https://api.spotify.com/v1/artists/6ZGnOjP7LzfEGF2LwfKnh6,6ZGnOjP7LzfEGF2LwfKnh6,Chris Higbee,7,spotify:artist:6ZGnOjP7LzfEGF2LwfKnh6
9493,"{'href': None, 'total': 82828}","['british soundtrack', 'orchestral soundtrack', 'soundtrack']",https://api.spotify.com/v1/artists/1W42coQfIlt6btgqpfJWYQ,1W42coQfIlt6btgqpfJWYQ,Patrick Doyle,55,spotify:artist:1W42coQfIlt6btgqpfJWYQ
9494,"{'href': None, 'total': 935}",[],https://api.spotify.com/v1/artists/1hnDQcERL0WOQuuSSDni0T,1hnDQcERL0WOQuuSSDni0T,Enoch Light & The Light Brigade,9,spotify:artist:1hnDQcERL0WOQuuSSDni0T
9495,"{'href': None, 'total': 1467}","['concert band', 'wind symphony']",https://api.spotify.com/v1/artists/0nxRn8CNiMyuKjtXpLJLBu,0nxRn8CNiMyuKjtXpLJLBu,David Holsinger,16,spotify:artist:0nxRn8CNiMyuKjtXpLJLBu
9496,"{'href': None, 'total': 15}",[],https://api.spotify.com/v1/artists/7k8OKbTetypT0zWUPezIew,7k8OKbTetypT0zWUPezIew,Derek Bourgeios,0,spotify:artist:7k8OKbTetypT0zWUPezIew
9497,"{'href': None, 'total': 2}",[],https://api.spotify.com/v1/artists/6jHsToXJbJZRkEbfjBMryQ,6jHsToXJbJZRkEbfjBMryQ,Jose Pacheco,0,spotify:artist:6jHsToXJbJZRkEbfjBMryQ
9498,"{'href': None, 'total': 50}",[],https://api.spotify.com/v1/artists/7c5tSI9DZOYoE1Td6wVPmP,7c5tSI9DZOYoE1Td6wVPmP,Royal Opera House Brass Soloists,0,spotify:artist:7c5tSI9DZOYoE1Td6wVPmP
9499,"{'href': None, 'total': 20946}","['american romanticism', 'concert band']",https://api.spotify.com/v1/artists/6jNyNAMv2gNLnfaP0bzo7y,6jNyNAMv2gNLnfaP0bzo7y,John Philip Sousa,35,spotify:artist:6jNyNAMv2gNLnfaP0bzo7y
